Compound,Receptor,Concentration_uM,Replicate,Fold_induction
PFECHS,PXR,0.3,6,1.2241
PFECHS,PXR,0.3,7,1.31
PFECHS,PXR,0.3,8,1.0927
PFECHS,PXR,0.3,9,1.424
PFECHS,PXR,1.0,1,1.3104
PFECHS,PXR,1.0,2,1.6823
PFECHS,PXR,1.0,3,1.4151
PFECHS,PXR,1.0,4,1.5505
PFECHS,PXR,1.0,5,1.3991
PFECHS,PXR,1.0,6,1.4884
PFECHS,PXR,1.0,7,1.301
PFECHS,PXR,1.0,8,1.529
PFECHS,PXR,1.0,9,1.401
PFECHS,PXR,3.0,1,2.2898
PFECHS,PXR,3.0,2,2.1145
PFECHS,PXR,3.0,3,1.909
PFECHS,PXR,3.0,4,2.2245
PFECHS,PXR,3.0,5,2.404
PFECHS,PXR,3.0,6,2.0981
PFECHS,PXR,3.0,7,2.3294
PFECHS,PXR,3.0,8,1.89
PFECHS,PXR,3.0,9,2.4142
PFECHS,PXR,10.0,1,4.0401
PFECHS,PXR,10.0,2,3.9491
PFECHS,PXR,10.0,3,3.4159
PFECHS,PXR,10.0,4,4.5419
PFECHS,PXR,10.0,5,4.4915
PFECHS,PXR,10.0,6,4.2991
PFECHS,PXR,10.0,7,4.2581
PFECHS,PXR,10.0,8,4.5289
PFECHS,PXR,10.0,9,4.3148
PFECHS,PXR,20.0,1,5.8052
PFECHS,PXR,20.0,2,6.3491
PFECHS,PXR,20.0,3,6.7861
PFECHS,PXR,20.0,4,5.9234
PFECHS,PXR,20.0,5,6.4131
PFECHS,PXR,20.0,6,6.0041
PFECHS,PXR,20.0,7,6.3245
PFECHS,PXR,20.0,8,6.0442
PFECHS,PXR,20.0,9,5.9939
PFECHS,PXR,50.0,1,9.2301
PFECHS,PXR,50.0,2,7.5
PFECHS,PXR,50.0,3,8.4195
PFECHS,PXR,50.0,4,8.9924
PFECHS,PXR,50.0,5,9.4003
PFECHS,PXR,50.0,6,8.9292
PFECHS,PXR,50.0,7,9.241
PFECHS,PXR,50.0,8,8.9234
PFECHS,PXR,50.0,9,9.941
PFECHS,PXR,75.0,1,10.2041
PFECHS,PXR,75.0,2,8.8414
PFECHS,PXR,75.0,3,8.3846
PFECHS,PXR,75.0,4,8.1492
PFECHS,PXR,75.0,5,9.8521
PFECHS,PXR,75.0,6,8.0502
PFECHS,PXR,75.0,7,9.7762
PFECHS,PXR,75.0,8,9.052
PFECHS,PXR,75.0,9,9.9952
PFECHS,PXR,100.0,1,10.1234
PFECHS,PXR,100.0,2,9.4956
PFECHS,PXR,100.0,3,10.2502
PFECHS,PXR,100.0,4,9.9925
PFECHS,PXR,100.0,5,8.5999
PFECHS,PXR,100.0,6,10.592
PFECHS,PXR,100.0,7,9.1052
PFECHS,PXR,100.0,8,8.9251
PFECHS,PXR,100.0,9,9.0015
